dataset,fold,scheme,seed,auc,static_auc,lift_vs_static
bridge2algebra2006,3,moe,2,0.815419,0.820311,-0.004892
bridge2algebra2006,3,attention,3,0.820306,0.820311,-6e-06
bridge2algebra2006,3,moe,3,0.815292,0.820311,-0.00502
bridge2algebra2006,3,attention,4,0.820341,0.820311,3e-05
bridge2algebra2006,3,moe,4,0.815907,0.820311,-0.004404
bridge2algebra2006,4,attention,0,0.819882,0.821331,-0.001449
bridge2algebra2006,4,moe,0,0.815474,0.821331,-0.005857
bridge2algebra2006,4,attention,1,0.819947,0.821331,-0.001384
bridge2algebra2006,4,moe,1,0.816058,0.821331,-0.005273
bridge2algebra2006,4,attention,2,0.819927,0.821331,-0.001404
bridge2algebra2006,4,moe,2,0.81206,0.821331,-0.009271
bridge2algebra2006,4,attention,3,0.819959,0.821331,-0.001372
bridge2algebra2006,4,moe,3,0.816055,0.821331,-0.005276
bridge2algebra2006,4,attention,4,0.819916,0.821331,-0.001415
bridge2algebra2006,4,moe,4,0.815028,0.821331,-0.006303
ednet,0,attention,0,0.940732,0.940415,0.000317
ednet,0,moe,0,0.9393,0.940415,-0.001116
ednet,0,attention,1,0.940668,0.940415,0.000252
ednet,0,moe,1,0.938525,0.940415,-0.00189
ednet,0,attention,2,0.940791,0.940415,0.000376
ednet,0,moe,2,0.939271,0.940415,-0.001144
ednet,0,attention,3,0.940765,0.940415,0.00035
ednet,0,moe,3,0.938187,0.940415,-0.002229
ednet,0,attention,4,0.940757,0.940415,0.000342
ednet,0,moe,4,0.939444,0.940415,-0.000971
ednet,1,attention,0,0.941421,0.941373,4.8e-05
ednet,1,moe,0,0.940093,0.941373,-0.00128
ednet,1,attention,1,0.941367,0.941373,-6e-06
ednet,1,moe,1,0.93997,0.941373,-0.001402
ednet,1,attention,2,0.941339,0.941373,-3.4e-05
ednet,1,moe,2,0.938969,0.941373,-0.002404
ednet,1,attention,3,0.941407,0.941373,3.4e-05
ednet,1,moe,3,0.93914,0.941373,-0.002233
ednet,1,attention,4,0.941338,0.941373,-3.5e-05
ednet,1,moe,4,0.939249,0.941373,-0.002124
ednet,2,attention,0,0.940624,0.93995,0.000674
ednet,2,moe,0,0.937377,0.93995,-0.002572
ednet,2,attention,1,0.94062,0.93995,0.00067
ednet,2,moe,1,0.938189,0.93995,-0.001761
ednet,2,attention,2,0.940507,0.93995,0.000557
ednet,2,moe,2,0.936593,0.93995,-0.003357
ednet,2,attention,3,0.940607,0.93995,0.000657
ednet,2,moe,3,0.937295,0.93995,-0.002655
ednet,2,attention,4,0.940638,0.93995,0.000688
ednet,2,moe,4,0.938562,0.93995,-0.001388
ednet,3,attention,0,0.940345,0.940029,0.000316
ednet,3,moe,0,0.938676,0.940029,-0.001353
ednet,3,attention,1,0.940373,0.940029,0.000344
ednet,3,moe,1,0.937988,0.940029,-0.002041
ednet,3,attention,2,0.940322,0.940029,0.000293
ednet,3,moe,2,0.937616,0.940029,-0.002413
ednet,3,attention,3,0.940379,0.940029,0.00035
ednet,3,moe,3,0.938625,0.940029,-0.001404
ednet,3,attention,4,0.940354,0.940029,0.000325
ednet,3,moe,4,0.93808,0.940029,-0.001949
ednet,4,attention,0,0.940569,0.940855,-0.000287
ednet,4,moe,0,0.938791,0.940855,-0.002064
ednet,4,attention,1,0.94049,0.940855,-0.000365
ednet,4,moe,1,0.938952,0.940855,-0.001903
ednet,4,attention,2,0.940545,0.940855,-0.00031
ednet,4,moe,2,0.93741,0.940855,-0.003445
ednet,4,attention,3,0.940561,0.940855,-0.000294
ednet,4,moe,3,0.937527,0.940855,-0.003328
ednet,4,attention,4,0.940554,0.940855,-0.000301
ednet,4,moe,4,0.938639,0.940855,-0.002216
