dataset,fold,subset,models_in_subset,aggregator,n_rows,auc,ece,brier,best_single_model,best_single_selected_on,best_single_auc,delta_auc,best_single_ece,delta_ece,best_single_brier,delta_brier,best_single_on_test_model,best_single_on_test_auc,best_single_on_test_ece,delta_auc_vs_test_best
assist2015,3,deep,"dkt,sakt,akt,simplekt",logit_mean,134592,0.727792,0.00706,0.170061,dkt,valid,0.726627,0.001165,0.010432,-0.003372,0.170593,-0.000532,dkt,0.726627,0.010432,0.001165
assist2015,3,deep,"dkt,sakt,akt,simplekt",rank_mean,134592,0.727699,nan,nan,dkt,valid,0.726627,0.001072,0.010432,nan,0.170593,nan,dkt,0.726627,0.010432,0.001072
assist2015,3,deep,"dkt,sakt,akt,simplekt",median,134592,0.72719,0.005572,0.170168,dkt,valid,0.726627,0.000563,0.010432,-0.004859,0.170593,-0.000425,dkt,0.726627,0.010432,0.000563
assist2015,4,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,138458,0.699579,0.02628,0.177901,bkt,valid,0.699203,0.000377,0.007015,0.019265,0.177002,0.000899,bkt,0.699203,0.007015,0.000377
assist2015,4,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,138458,0.699866,0.026607,0.177928,bkt,valid,0.699203,0.000664,0.007015,0.019593,0.177002,0.000926,bkt,0.699203,0.007015,0.000664
assist2015,4,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,138458,0.698787,0.022207,0.1778,bkt,valid,0.699203,-0.000416,0.007015,0.015192,0.177002,0.000798,bkt,0.699203,0.007015,-0.000416
assist2015,4,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,138458,0.699427,nan,nan,bkt,valid,0.699203,0.000224,0.007015,nan,0.177002,nan,bkt,0.699203,0.007015,0.000224
assist2015,4,classical,"bkt,pfa,pfa_recency,elorasch",median,138458,0.695037,0.012883,0.178271,bkt,valid,0.699203,-0.004166,0.007015,0.005868,0.177002,0.001269,bkt,0.699203,0.007015,-0.004166
assist2015,4,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,134592,0.728607,0.015553,0.170224,dkt,valid,0.727083,0.001524,0.006999,0.008554,0.170468,-0.000244,dkt,0.727083,0.006999,0.001524
assist2015,4,deep,"dkt,sakt,akt,simplekt",geometric_mean,134592,0.728684,0.013651,0.170125,dkt,valid,0.727083,0.001601,0.006999,0.006652,0.170468,-0.000342,dkt,0.727083,0.006999,0.001601
assist2015,4,deep,"dkt,sakt,akt,simplekt",logit_mean,134592,0.72831,0.017847,0.170347,dkt,valid,0.727083,0.001227,0.006999,0.010848,0.170468,-0.00012,dkt,0.727083,0.006999,0.001227
assist2015,4,deep,"dkt,sakt,akt,simplekt",rank_mean,134592,0.728104,nan,nan,dkt,valid,0.727083,0.001021,0.006999,nan,0.170468,nan,dkt,0.727083,0.006999,0.001021
assist2015,4,deep,"dkt,sakt,akt,simplekt",median,134592,0.727934,0.016873,0.170376,dkt,valid,0.727083,0.000851,0.006999,0.009875,0.170468,-9.2e-05,dkt,0.727083,0.006999,0.000851
assist2017,0,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,178823,0.647658,0.029685,0.218684,elorasch,valid,0.639886,0.007772,0.028824,0.00086,0.220465,-0.001781,elorasch,0.639886,0.028824,0.007772
assist2017,0,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,178823,0.647009,0.028773,0.218804,elorasch,valid,0.639886,0.007123,0.028824,-5.1e-05,0.220465,-0.001661,elorasch,0.639886,0.028824,0.007123
assist2017,0,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,178823,0.647462,0.028527,0.218643,elorasch,valid,0.639886,0.007576,0.028824,-0.000297,0.220465,-0.001822,elorasch,0.639886,0.028824,0.007576
assist2017,0,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,178823,0.645924,nan,nan,elorasch,valid,0.639886,0.006038,0.028824,nan,0.220465,nan,elorasch,0.639886,0.028824,0.006038
assist2017,0,classical,"bkt,pfa,pfa_recency,elorasch",median,178823,0.641008,0.022898,0.219747,elorasch,valid,0.639886,0.001122,0.028824,-0.005927,0.220465,-0.000718,elorasch,0.639886,0.028824,0.001122
assist2017,0,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,177767,0.76334,0.038875,0.188194,akt,valid,0.758263,0.005076,0.015686,0.023189,0.188321,-0.000127,akt,0.758263,0.015686,0.005076
assist2017,0,deep,"dkt,sakt,akt,simplekt",geometric_mean,177767,0.763777,0.035403,0.187882,akt,valid,0.758263,0.005513,0.015686,0.019717,0.188321,-0.00044,akt,0.758263,0.015686,0.005513
assist2017,0,deep,"dkt,sakt,akt,simplekt",logit_mean,177767,0.764648,0.029783,0.186843,akt,valid,0.758263,0.006385,0.015686,0.014097,0.188321,-0.001478,akt,0.758263,0.015686,0.006385
assist2017,0,deep,"dkt,sakt,akt,simplekt",rank_mean,177767,0.756451,nan,nan,akt,valid,0.758263,-0.001812,0.015686,nan,0.188321,nan,akt,0.758263,0.015686,-0.001812
assist2017,0,deep,"dkt,sakt,akt,simplekt",median,177767,0.761707,0.029196,0.187883,akt,valid,0.758263,0.003444,0.015686,0.01351,0.188321,-0.000438,akt,0.758263,0.015686,0.003444
assist2017,1,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,178823,0.647425,0.028879,0.218684,elorasch,valid,0.640084,0.007342,0.027391,0.001488,0.220339,-0.001655,elorasch,0.640084,0.027391,0.007342
assist2017,1,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,178823,0.646784,0.027291,0.218807,elorasch,valid,0.640084,0.0067,0.027391,-0.0001,0.220339,-0.001532,elorasch,0.640084,0.027391,0.0067
assist2017,1,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,178823,0.647226,0.027435,0.21865,elorasch,valid,0.640084,0.007142,0.027391,4.4e-05,0.220339,-0.001689,elorasch,0.640084,0.027391,0.007142
assist2017,1,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,178823,0.645632,nan,nan,elorasch,valid,0.640084,0.005548,0.027391,nan,0.220339,nan,elorasch,0.640084,0.027391,0.005548
assist2017,1,classical,"bkt,pfa,pfa_recency,elorasch",median,178823,0.640731,0.022161,0.219766,elorasch,valid,0.640084,0.000647,0.027391,-0.00523,0.220339,-0.000572,elorasch,0.640084,0.027391,0.000647
assist2017,1,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,177767,0.763435,0.037705,0.188127,akt,valid,0.758171,0.005263,0.01577,0.021935,0.188319,-0.000192,akt,0.758171,0.01577,0.005263
assist2017,1,deep,"dkt,sakt,akt,simplekt",geometric_mean,177767,0.764007,0.035107,0.187817,akt,valid,0.758171,0.005836,0.01577,0.019337,0.188319,-0.000502,akt,0.758171,0.01577,0.005836
assist2017,1,deep,"dkt,sakt,akt,simplekt",logit_mean,177767,0.764811,0.029354,0.186801,akt,valid,0.758171,0.00664,0.01577,0.013584,0.188319,-0.001518,akt,0.758171,0.01577,0.00664
assist2017,1,deep,"dkt,sakt,akt,simplekt",rank_mean,177767,0.756677,nan,nan,akt,valid,0.758171,-0.001494,0.01577,nan,0.188319,nan,akt,0.758171,0.01577,-0.001494
assist2017,1,deep,"dkt,sakt,akt,simplekt",median,177767,0.761886,0.029094,0.187777,akt,valid,0.758171,0.003715,0.01577,0.013324,0.188319,-0.000542,akt,0.758171,0.01577,0.003715
