dataset,subset,model,fold,n_rows,auc,ece,brier
algebra2005,deep,sakt,4,92945,0.7852366001615037,0.051184896444133605,0.14849856477615794
algebra2005,deep,akt,0,92945,0.8078821272921234,0.02349098929474417,0.1410699217993437
algebra2005,deep,akt,1,92945,0.8079369925714613,0.025558463607509792,0.14090493186615743
algebra2005,deep,akt,2,92945,0.806222830405819,0.02708004411210929,0.14156936741546075
algebra2005,deep,akt,3,92945,0.8110029377343073,0.035307666899779454,0.14048102401301846
algebra2005,deep,akt,4,92945,0.8133985898386386,0.027323259992468655,0.13930110977416754
algebra2005,deep,simplekt,0,92945,0.8133940954138321,0.053947345204153,0.14202230032513852
algebra2005,deep,simplekt,1,92945,0.8140781603391303,0.04882404432729031,0.14107683414255742
algebra2005,deep,simplekt,2,92945,0.8152466188924636,0.06492002904943783,0.14169980482209907
algebra2005,deep,simplekt,3,92945,0.8166938538926767,0.06655949109688522,0.14171179299854753
algebra2005,deep,simplekt,4,92945,0.8128162478993828,0.04308662219592232,0.1425251564866319
assist2009,classical,bkt,0,53148,0.7252393093831357,0.02023614294012706,0.1958847891533285
assist2009,classical,bkt,1,53148,0.7252759760572407,0.019419792537373914,0.1957878333599961
assist2009,classical,bkt,2,53148,0.7258104414310979,0.01853391847344216,0.19574063066988476
assist2009,classical,bkt,3,53148,0.7266318861235169,0.019524903980596406,0.19560436505940176
assist2009,classical,bkt,4,53148,0.7259941083790202,0.020950579732691862,0.19589858814183778
assist2009,classical,pfa,0,53148,0.7083194616898207,0.0275388467105214,0.20302909926275833
assist2009,classical,pfa,1,53148,0.7086361961121914,0.026005892533463717,0.2031299798322901
assist2009,classical,pfa,2,53148,0.7100830094699403,0.029076996014329184,0.2028549403856862
assist2009,classical,pfa,3,53148,0.7086862219859115,0.027895126093028272,0.20305758001766328
assist2009,classical,pfa,4,53148,0.7090013475683308,0.02842977047163385,0.20334833646608436
assist2009,classical,pfa_recency,0,53148,0.7187566544377192,0.02406257174878953,0.19923843321325718
assist2009,classical,pfa_recency,1,53148,0.7182416891549595,0.023502977879638925,0.19947732801059873
assist2009,classical,pfa_recency,2,53148,0.7190953083458711,0.024494414748333346,0.19923236027022115
assist2009,classical,pfa_recency,3,53148,0.7185381374705273,0.021429234291952693,0.19925567188213492
assist2009,classical,pfa_recency,4,53148,0.7183525258047231,0.023214058546290016,0.1995103195419773
assist2009,classical,elorasch,0,53148,0.7102614035944567,0.06222450470359907,0.20544418114398094
assist2009,classical,elorasch,1,53148,0.7101210871380922,0.06411391405818052,0.20561328310183208
assist2009,classical,elorasch,2,53148,0.7110591727269819,0.06428302331874831,0.20561499065350175
assist2009,classical,elorasch,3,53148,0.7108119665699623,0.06459642432199399,0.20571640591144147
assist2009,classical,elorasch,4,53148,0.710534213925516,0.06405971801928281,0.20572448766206236
assist2009,deep,dkt,0,52254,0.7499495411890569,0.01063464997894899,0.18743605985608755
assist2009,deep,dkt,1,52254,0.748007439669236,0.009876315688751103,0.18795765774754086
assist2009,deep,dkt,2,52254,0.7513523232255738,0.012104116431277992,0.18686171692597697
assist2009,deep,dkt,3,52254,0.7517081158210368,0.013774796187851658,0.18689575902782563
assist2009,deep,dkt,4,52254,0.7524662576579104,0.01917847054770927,0.18659200311593374
assist2009,deep,sakt,0,52254,0.72862278456082,0.04496216557584107,0.19563632691851338
assist2009,deep,sakt,1,52254,0.7315115521824953,0.045290337581811925,0.19501284954051362
assist2009,deep,sakt,2,52254,0.7297053944162906,0.041373734068205326,0.19511285773892906
assist2009,deep,sakt,3,52254,0.7291433563321421,0.04857061660351359,0.19576501528342327
assist2009,deep,sakt,4,52254,0.7285756066193361,0.03639966318367973,0.1949157566069583
assist2009,deep,akt,0,52254,0.7615317357545422,0.02226779576683127,0.18429261528189228
assist2009,deep,akt,1,52254,0.7586001773959243,0.017385021242392926,0.18492639968174682
assist2009,deep,akt,2,52254,0.7605576484325606,0.01855521682550621,0.18441682235522638
assist2009,deep,akt,3,52254,0.7583367623894581,0.019604041795843397,0.18521600834462434
assist2009,deep,akt,4,52254,0.7590837336186076,0.028589840012247864,0.1852722336290045
assist2009,deep,simplekt,0,52254,0.7635746643237543,0.07877130171852877,0.19180597539288857
assist2009,deep,simplekt,1,52254,0.7606758677844898,0.12603395146783022,0.20473721489015198
assist2009,deep,simplekt,2,52254,0.7591040528428283,0.02564730546943774,0.1869883113838175
assist2009,deep,simplekt,3,52254,0.7674237109343925,0.05725298350365522,0.18646609040532783
assist2009,deep,simplekt,4,52254,0.7661351328691908,0.11129210778122252,0.1973732527316569
assist2012,classical,bkt,0,542817,0.6808363859594394,0.008536563160085905,0.1923492355962982
assist2012,classical,bkt,1,542817,0.6807241956577799,0.008243176782800439,0.19233874318888533
assist2012,classical,bkt,2,542817,0.6809079331611717,0.0076202449043309296,0.19233117402487854
assist2012,classical,bkt,3,542817,0.6809415981480832,0.008014927010489937,0.1923350800258537
assist2012,classical,bkt,4,542817,0.680865875835851,0.008150847221521764,0.1923250603524659
assist2012,classical,pfa,0,542817,0.6669473589353799,0.014811424629837745,0.19647752532941687
assist2012,classical,pfa,1,542817,0.6667345790109995,0.015607495987293505,0.19652312873742195
assist2012,classical,pfa,2,542817,0.666602459020299,0.015694923488452906,0.19651790076641662
assist2012,classical,pfa,3,542817,0.6668799213210571,0.015802696264136943,0.19648641381901694
assist2012,classical,pfa,4,542817,0.6668057460666647,0.015319826342387282,0.19648968734814357
assist2012,classical,pfa_recency,0,542817,0.6731031060126925,0.008840804448770282,0.19482902704530813
assist2012,classical,pfa_recency,1,542817,0.673234374275308,0.009645277482831055,0.1948374968434796
assist2012,classical,pfa_recency,2,542817,0.6731637349288362,0.00914822419796961,0.19482692527318748
assist2012,classical,pfa_recency,3,542817,0.6732784388099915,0.009576538629917676,0.19481495658345016
assist2012,classical,pfa_recency,4,542817,0.6732953084265233,0.009431026886425112,0.19480898149141804
assist2012,classical,elorasch,0,542817,0.6708819213298646,0.04845923868434437,0.19787746177881235
assist2012,classical,elorasch,1,542817,0.6710282547687829,0.04787121496283795,0.19782510634565584
assist2012,classical,elorasch,2,542817,0.6707272377660682,0.04699138749603562,0.19775144213717552
assist2012,classical,elorasch,3,542817,0.6710809722283281,0.048730925283519015,0.19790667064469497
assist2012,classical,elorasch,4,542817,0.6710572884506895,0.04743259742073232,0.19773484972549157
assist2012,deep,dkt,0,536087,0.7292508551806404,0.007334638034498106,0.18047298977264883
assist2012,deep,dkt,1,536087,0.7293053046556213,0.003981467560302718,0.18041239797943248
assist2012,deep,dkt,2,536087,0.7289270221954223,0.003392374372070199,0.18048580244035015
assist2012,deep,dkt,3,536087,0.7301083797028411,0.0030036551902956157,0.18019345309293083
assist2012,deep,dkt,4,536087,0.7302730727440112,0.0101096245572081,0.1802662631496567
assist2012,deep,sakt,0,536087,0.7073374782148303,0.007245143791959115,0.18620975403801995
assist2012,deep,sakt,1,536087,0.7068585781570108,0.011795351687319404,0.18632941011430978
assist2012,deep,sakt,2,536087,0.7066779231939835,0.009477514284062086,0.18635847294047422
assist2012,deep,sakt,3,536087,0.7064940496751866,0.008326338821870305,0.18642900124744677
assist2012,deep,sakt,4,536087,0.7078597504381243,0.025529975545014138,0.18674401953149397
assist2012,deep,akt,0,536087,0.7729085308037571,0.014960614415197531,0.16826058423571175
