dataset,fold,subset,meta_learner,models_in_subset,best_single_model,best_single_selected_on,n_valid,n_test,n_students,stacked_auc,best_single_auc,delta_auc,auc_ci_low,auc_ci_high,auc_p,stacked_ece,best_single_ece,delta_ece,ece_ci_low,ece_ci_high,ece_p,auc_p_holm,auc_p_reject_holm,ece_p_holm,ece_p_reject_holm
assist2017,0,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,153980,178823,341,0.655828,0.639886,0.015943,0.013099,0.018755,0.0,0.013289,0.028824,-0.015535,-0.019046,-0.011136,0.0,0.0,True,0.0,True
assist2017,0,deep,logistic_stacked,"dkt,sakt,akt,simplekt",akt,valid,153067,177767,341,0.769958,0.758263,0.011695,0.010732,0.012701,0.0,0.004197,0.015686,-0.01149,-0.013289,-0.007694,0.0,0.0,True,0.0,True
assist2017,0,deep,ridge_stacked,"dkt,sakt,akt,simplekt",akt,valid,153067,177767,341,0.769958,0.758263,0.011695,0.010732,0.012701,0.0,0.004196,0.015686,-0.01149,-0.013289,-0.007705,0.0,0.0,True,0.0,True
assist2017,0,deep,bma,"dkt,sakt,akt,simplekt",akt,valid,153067,177767,341,0.758263,0.758263,0.0,0.0,0.0,1.0,0.015686,0.015686,0.0,0.0,0.0,1.0,1.0,False,1.0,False
assist2017,0,deep,xgb_stacked,"dkt,sakt,akt,simplekt",akt,valid,153067,177767,341,0.769697,0.758263,0.011434,0.010369,0.01256,0.0,0.005065,0.015686,-0.010621,-0.0123,-0.007222,0.0,0.0,True,0.0,True
assist2017,0,deep,mlp_stacked,"dkt,sakt,akt,simplekt",akt,valid,153067,177767,341,0.769883,0.758263,0.01162,0.010654,0.012632,0.0,0.01051,0.015686,-0.005176,-0.010485,0.000312,0.064,0.0,True,0.32,False
assist2017,1,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,142789,178823,341,0.654456,0.640084,0.014372,0.011645,0.017061,0.0,0.010512,0.027391,-0.016879,-0.01945,-0.013566,0.0,0.0,True,0.0,True
assist2017,1,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,142789,178823,341,0.654466,0.640084,0.014382,0.011645,0.017068,0.0,0.010665,0.027391,-0.016726,-0.019418,-0.01358,0.0,0.0,True,0.0,True
assist2017,1,classical,bma,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,142789,178823,341,0.640084,0.640084,0.0,0.0,0.0,1.0,0.027391,0.027391,0.0,0.0,0.0,1.0,1.0,False,1.0,False
assist2017,1,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,142789,178823,341,0.660968,0.640084,0.020885,0.018515,0.02331,0.0,0.006022,0.027391,-0.021369,-0.023623,-0.016627,0.0,0.0,True,0.0,True
assist2017,1,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,142789,178823,341,0.65547,0.640084,0.015386,0.012755,0.01797,0.0,0.005606,0.027391,-0.021785,-0.024226,-0.015961,0.0,0.0,True,0.0,True
assist2017,1,deep,logistic_stacked,"dkt,sakt,akt,simplekt",akt,valid,141938,177767,341,0.770683,0.758171,0.012511,0.011378,0.013676,0.0,0.004285,0.01577,-0.011485,-0.013173,-0.007975,0.0,0.0,True,0.0,True
assist2017,1,deep,ridge_stacked,"dkt,sakt,akt,simplekt",akt,valid,141938,177767,341,0.770683,0.758171,0.012511,0.011378,0.013677,0.0,0.004286,0.01577,-0.011484,-0.013172,-0.007965,0.0,0.0,True,0.0,True
assist2017,1,deep,bma,"dkt,sakt,akt,simplekt",akt,valid,141938,177767,341,0.758171,0.758171,0.0,0.0,0.0,1.0,0.01577,0.01577,0.0,0.0,0.0,1.0,1.0,False,1.0,False
assist2017,1,deep,xgb_stacked,"dkt,sakt,akt,simplekt",akt,valid,141938,177767,341,0.770858,0.758171,0.012687,0.011431,0.014041,0.0,0.005011,0.01577,-0.010759,-0.012867,-0.007069,0.0,0.0,True,0.0,True
